주제,기사 제목,기사 URL,편향성 평가,주요 문장,비고
의대 정원 확대,2000명 증원' 찬성 vs 반대 vs 속도 조절…세 가지 시선[의사공백②],https://www.newsis.com/view/NISX20240315_0002662228,-3,"의대증원 반대 측은 의대 2000명 증원의 과학적 근거가 부족하고 증원 규모 확정 과정에서 사회적 논의가 부족했다고 보고 있다, 정부가 의료서비스를 공급하거나 직접 환자와 만나는 것은 아니기 때문에 초기부터 이해당사자들과 끊임없는 논의를 거쳐 과학적 근거를 바탕으로 결정하고 공청회도 열어 의견을 수렴해야 했다, 의대증원 선결과제로 제시했던 의료수가 정상화와 의료사고 법적 부담 완화 등 필수의료 유인책이 미흡해 필수의료 살리기라는 의대증원 취지도 살리기 어렵다는 입장이다",
의대 정원 확대,2000명 증원' 찬성 vs 반대 vs 속도 조절…세 가지 시선[의사공백②],https://www.newsis.com/view/NISX20240315_0002662228,2,"의사가 늘어나면 파행 진료를 겪고 있는 곳에 필요한 의사 인력을 배치할 수 있게 되고 양질의 의료서비스를 제공할 수 있다, 의사 자격이 없는 의료인들이 수술 시술 처치 처방 설명 회진 등을 대리하는 의료 현장의 불법의료를 막을 수 있고 의료서비스 질을 높일 수 있다, 사회적 논의를 통해 미래 의료현장에서 필요로 하는 의사 인력 규모를 예측해 의대정원을 늘려야 한다, 고령화 등으로 인한 의료서비스 수요 증가를 고려해야 한다",
의대 정원 확대,"작정한 복지부, 의대 정원 증원 반대 논리 ‘조목조목’ 반박",https://www.docdocdoc.co.kr/news/articleView.html?idxno=3011578,3,"우리나라 인구 1,000명당 의사 수가 경제협력개발기구(OECD) 최하위 수준인 2.6명이라는 점이 중요하다, 지역 편차를 고려하면 상황은 더욱 심각하다, 인구 고령화가 더 심해지기 전에 의사 수를 늘려 지역 고령인구 의료 수요에 대응해야 한다, 의대 졸업인원을 봐도 우리나라 인력 확보 전망을 밝지 않다",
의대 정원 확대,"작정한 복지부, 의대 정원 증원 반대 논리 ‘조목조목’ 반박",https://www.docdocdoc.co.kr/news/articleView.html?idxno=3011578,-3,"현재 의대 정원보다 3~4배 많은 증원을 요구하는 것은 교육 인프라나 현실 여건은 전혀 고려하지 않은 허무맹랑한 숫자가 난무한 것, 이런 수요조사에 대해 정부는 공정하고 객관적인 조사라 말할 수 있나, 합리적 근거 없는 부적절한 수요조사 결과를 정부가 무리하게 발표해 의료계는 물론 대한민국이 혼란에 빠졌다, 합리적이지 못한 수요조사와 짜맞추기식 현장 점검은 즉각 증단돼야 한다, 정부는 의대 정원 증원보다는 필수의료 종사자들이 안심하고 환자 진료에 전념할 수 있도록 안정적인 의료 환경을 마련하고 의료전달체계를 바로세워 지역의료를 살려야 한다, 지금 이 순간에도 수많은 의사들이 특수의료 현장을 떠나고 있다. 정부는 현실을 외면하지 말고 빠른 대책을 세워야 한다",
의대 정원 확대,"의대정원 확대 찬성 국민여론 증가…절반은 ""1000명은 돼야""",https://www.medipana.com/article/view.php?news_idx=320567,2,"국민 대다수가 의사가 부족한 현상을 개선할 필요가 있고 의사 부족 개선 방안으로 의대 정원 확대에 찬성하는 것으로 확인됐다, 의협 주장은 의료현장 현실을 외면한 억지주장이고 의대정원 확대에 발목을 걸기 위한 궤변, 의대정원 확대를 막기 위해 집단진료거부에 나서겠다는 의협 행위는 의료현장의 절박한 현실을 외면하는 처사이고 절대다수 국민여론에 역행하는 처사라고 지적했다",
의대 정원 확대,성균관 의대 교수협 ‘증원 찬성’ 우세…“전공의 복귀해야”,https://www.hani.co.kr/arti/society/health/1129770.html,0,"의료대란의 피해는 환자이며 정부와 의사 단체 모두 대승적으로 양보할 것을 촉구했다, 정부는 일방적인 증원 정책을 멈추고 의사단체는 가두시위를 중단하고 협상 테이블에 앉아야 한다",
의대 정원 확대,"의사 가운 벗고 삭발했지만 등돌린 국민들…90%가 ""의대 증원 찬성""",https://news.mt.co.kr/mtview.php?no=2023121716110884002,-3,"정부는 의대증원만이 전가의 보도인 것마냥 언론에 흘리는데 이게 과연 올바른 정책의 방향이냐, 의대증원은 가장 효과가 없으면서도 시간이 오래 걸리는 정책이고 정부는 눈앞의 총선에만 도움이 되고자 의료계를 자기 이익만 생각하는 집단으로 몰고 있다, 초저출산으로 앞으로 인구가 1000만명이 줄 것으로 예상되는데 지금보다 2배의 의사가 왜 필요하냐",
의대 정원 확대,"의사 가운 벗고 삭발했지만 등돌린 국민들…90%가 ""의대 증원 찬성""",https://news.mt.co.kr/mtview.php?no=2023121716110884002,2,"의사들의 반대와 몽니 부리기에 휘둘릴 것이 아니라 국민의 절박한 요구에 따라 분명하고 강력하게 의대 정원 확대 정책을 추진해야 한다, 의대정원 확대가 절대다수 국민의 요구이고 민심이고 여론이다",
의대 정원 확대,"의대 정원 확대 ""찬성"" 58.2%",https://www.ohmynews.com/NWS_Web/Event/Special/opinion_poll_2019/at_pg.aspx?CNTN_CD=A0002662271,-3,정부 및 여당이 필수의료나 지역 의료를 살리기 위한 근본적 대책 없이 실패할 것이 자명한 의사 인력 증원을 일방적으로 추진하는 것은 국민 생명과 건강을 위해서가 아니라 오로지 정치적 목적만을 앞세운 포퓰리즘적 정책이라는 것을 반증하는 것,
의대 정원 확대,"의대 정원 확대 ""찬성"" 58.2%",https://www.ohmynews.com/NWS_Web/Event/Special/opinion_poll_2019/at_pg.aspx?CNTN_CD=A0002662271,1,우리 국민 10명 중 약 6명은 향후 10년간 의대 정원을 4000명 더 늘리겠다는 정부와 여당의 계획에 찬성하는 것으로 나타났다,
의대 정원 확대,국민 10명중 7명 “의대 정원 늘려야”…압도적 지지여론 확인,https://www.mk.co.kr/news/it/10852162,3,"이렇게 국민들은 실제로 체감을 하고 있는데 의사가 부족하지 않다거나 의과대학 정원 늘리는 것을 반대하는 것은 지나치게 이기적인 주장, 의대 정원 증원에 대해 압도적인 찬성 여론을 보이는 이유는 국민들 모두가 의사 부족과 필수·지방의료 공백 사태를 직접 체감하는 의료 소비자이자 의대쏠림 현상을 경험하는 교육 소비자이기 때문이다, 찬성 여론이 전지역 전연령층에 걸쳐 국민적 지지라고 할 수준으로 나타나 정부의 의대 정원확대 추진에 탄력을 받을 것으로 전망된다",
의대 정원 확대,"여야 모두 찬성하는 '의대 정원 확대', 그동안 못한 이유는 [""그땐그랬지""]",https://www.fnnews.com/news/202310191558236683,-2,-2,
의대 정원 확대,"3년 전 의대 증원 반대했던 100만 의사 유튜버, 이번엔 ""분위기 다르다""",https://www.chosun.com/national/national_general/2023/10/17/IR7CDUWAEJAHDKCGDTJ7SLLCDA/,-2,"의사 수를 늘린다고 해도 현재 수가로는 환자 수가 적어 병원 운영이 어려워 보이는 지방으로 향하는 사람이 얼마나 늘어날지 모르겠다, 현재 수준의 의료시스템은 유지가 되었으면 하고 이를 유지하는데 무턱대고 하는 의사 수 증원이 도움될 거라 생각하진 않는다",
의대 정원 확대,국민 좋다는 '의대정원 확대'…의사단체 '반대' 이유는,https://news.mt.co.kr/mtview.php?no=2020072914492154095,-3,"정확한 현황파악이나 추계없이 의사인력 수급 정책을 이야기하는 것 자체가 잘못됐다, 의사들이 지방에 종사하는 것을 선택할 수 있도록 보상이나 지원이 충분히 이뤄졌다면 이런 상황까지 오지 않았을 것, 의사 숫자보다는 공공의료부분에 국가가 투자를 안 해 공공 의료기관이나 병상 수가 굉장히 적은 게 문제",
